종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"259630","엠플러스","KOSDAQ","우량기업부","11750","200","1.73","11550","11900","11550","64103","751297135","142852458000","12157656"
"105550","엣지파운드리","KOSDAQ","중견기업부","1563","12","0.77","1551","1585","1529","322989","503484512","122393920713","78307051"
"060850","영림원소프트랩","KOSDAQ","벤처기업부","6200","-20","-0.32","6170","6270","6150","9459","58649200","50412200000","8131000"
"014440","영보화학","KOSPI",,"4615","-80","-1.70","4695","4695","4575","98948","458182135","92100000000","20000000"
"143540","영우디에스피","KOSDAQ","벤처기업부","1030","15","1.48","1040","1045","999","427345","433194730","45804092165","44599895"
"111770","영원무역","KOSPI",,"82200","2900","3.66","79700","84200","79600","58268","4779727150","3637971522800","44311468"
"009970","영원무역홀딩스","KOSPI",,"188500","4900","2.67","185300","190000","182300","18391","3442442350","2543256250800","13499237"
"003520","영진약품","KOSPI",,"1966","-59","-2.91","2025","2030","1961","1101113","2175668380","359567109146","182892731"
"000670","영풍","KOSPI",,"46200","500","1.09","45500","46450","45000","77445","3542673325","877077855000","19108450"
"012280","영화금속","KOSPI",,"945","-5","-0.53","950","958","935","83842","79174058","48564634700","51664505"
"265560","영화테크","KOSDAQ","우량기업부","6870","40","0.59","6830","6910","6830","8858","60900630","73548438400","10690180"
"012160","영흥","KOSPI",,"497","-9","-1.78","507","507","497","120424","60384153","50655186000","101310372"
"036000","예림당","KOSDAQ","중견기업부","3235","-20","-0.61","3250","3285","3180","130890","421776305","74400714710","23034277"
"250930","예선테크","KOSDAQ","벤처기업부","483","-12","-2.42","495","495","474","140499","68233670","15972212960","33000440"
"053280","예스24","KOSDAQ","중견기업부","3660","-20","-0.54","3680","3690","3640","41356","151383189","91625000000","25000000"
"122640","예스티","KOSDAQ","벤처기업부","18880","330","1.78","19490","19970","18730","195007","3734614795","403084620480","21349821"
"476040","오가노이드사이언스","KOSDAQ","기술성장기업부","38000","1050","2.84","36800","38350","35550","177342","6651992250","250046270000","6580165"
"900300","오가닉티코스메틱","KOSDAQ","외국기업(소속부없음)","238","-14","-5.56","253","257","233","7965568","1913613214","58986145860","251004876"
"212310","오건에코텍","KONEX","일반기업부","635","0","0.00","0","0","0","0","0","7337979990","11555874"
"045060","오공","KOSDAQ","우량기업부","2370","15","0.64","2355","2370","2335","18511","43405280","39813638900","16941974"
"192410","오늘이엔엠","KOSDAQ","투자주의환기종목(소속부없음)","805","36","4.68","769","815","756","149938","118688161","37702550984","46661573"
"080520","오디텍","KOSDAQ","벤처기업부","3105","-65","-2.05","3180","3205","3090","28081","88664625","35495777295","11322417"
"007310","오뚜기","KOSPI",,"381500","-1500","-0.39","383500","384000","380500","5589","2136127750","1530991060000","4007830"
"039830","오로라","KOSDAQ","우량기업부","15100","900","6.34","14200","15130","13870","206274","2971901330","162519639000","10762890"
"322310","오로스테크놀로지","KOSDAQ","벤처기업부","25650","-950","-3.57","27000","27350","25450","189858","4968447650","241188456500","9366542"
"046120","오르비텍","KOSDAQ","중견기업부","4160","135","3.35","4040","4300","4040","909569","3818919488","115247325440","27703684"
"475830","오름테라퓨틱","KOSDAQ","기술성장기업부","127700","13900","12.21","112700","128600","110000","452630","55720116200","2694387499200","21232368"
"014940","오리엔탈정공","KOSDAQ","우량기업부","7760","100","1.31","7620","7790","7600","226643","1744036480","353195872750","45573661"
"002630","오리엔트바이오","KOSPI",,"628","12","1.95","619","628","608","885536","546215815","74351544135","118583005"
"065500","오리엔트정공","KOSDAQ","중견기업부","2590","45","1.77","2550","2680","2510","510480","1319807769","82214142080","31742912"
"271560","오리온","KOSPI",,"104000","900","0.87","103100","104300","102300","77074","7989995500","4115711341200","39536132"
"001800","오리온홀딩스","KOSPI",,"19960","0","0.00","20050","20350","19900","78092","1560970770","1249149714680","62645422"
